Element No.,Algorithm,Average Time
10000,Recursive Quicksort,0.001320
10000,Library qsort,0.004880
10000,Heapsort,0.004680
10000,Bubblesort,0.243680
10000,Shakersort,0.206720
10000,Insertionsort,0.057160
10000,Selectionsort,0.113320
20000,Recursive Quicksort,0.002760
20000,Library qsort,0.010360
20000,Heapsort,0.010240
20000,Bubblesort,1.003840
20000,Shakersort,0.842800
20000,Insertionsort,0.225640
20000,Selectionsort,0.448760
30000,Recursive Quicksort,0.004320
30000,Library qsort,0.016600
30000,Heapsort,0.016120
30000,Bubblesort,2.276880
30000,Shakersort,1.924360
30000,Insertionsort,0.507920
30000,Selectionsort,1.010520
40000,Recursive Quicksort,0.005720
40000,Library qsort,0.022400
40000,Heapsort,0.022040
40000,Bubblesort,4.017160
40000,Shakersort,3.437640
40000,Insertionsort,0.902600
40000,Selectionsort,1.792840
50000,Recursive Quicksort,0.007400
50000,Library qsort,0.028720
50000,Heapsort,0.028360
50000,Bubblesort,6.167799
50000,Shakersort,5.384560
50000,Insertionsort,1.410800
50000,Selectionsort,2.807880
60000,Recursive Quicksort,0.008920
60000,Library qsort,0.034760
60000,Heapsort,0.034480
60000,Bubblesort,8.663159
60000,Shakersort,7.760520
60000,Insertionsort,2.032840
60000,Selectionsort,4.032160
70000,Recursive Quicksort,0.010400
70000,Library qsort,0.040640
70000,Heapsort,0.040560
70000,Bubblesort,11.443639
70000,Shakersort,10.563242
70000,Insertionsort,2.769240
70000,Selectionsort,5.496201
80000,Recursive Quicksort,0.012240
80000,Library qsort,0.047000
80000,Heapsort,0.046800
80000,Bubblesort,14.516720
80000,Shakersort,13.795320
80000,Insertionsort,3.611040
80000,Selectionsort,7.167799
90000,Recursive Quicksort,0.013600
90000,Library qsort,0.053160
90000,Heapsort,0.053480
90000,Bubblesort,17.848438
90000,Shakersort,17.430679
90000,Insertionsort,4.557680
90000,Selectionsort,9.062401
100000,Recursive Quicksort,0.015200
100000,Library qsort,0.058440
100000,Heapsort,0.060240
100000,Bubblesort,21.475359
100000,Shakersort,21.567280
100000,Insertionsort,5.644839
100000,Selectionsort,11.204519